time,windspeed
2011-10-27,0.0
2011-10-28,0.6
2011-10-29,0.0
2011-10-30,0.0
2011-10-31,0.0
2011-11-02,6.0
2011-11-04,0.0
2011-11-05,3.6
2011-11-06,11.6
2011-11-07,19.1
2011-11-08,3.4
2011-11-09,0.0
2011-11-11,9.3
2011-11-12,8.2
2011-11-13,24.8
2011-11-14,1.2
2011-11-15,5.8
2011-11-16,0.0
2011-11-17,2.0
2011-11-18,0.9
2011-11-19,8.2
2011-11-20,4.8
2011-11-21,0.4
2011-11-22,7.6
2011-11-23,6.3
2011-11-24,36.3
2011-11-25,18.4
2011-11-26,1.8
2011-11-27,2.6
2011-11-29,28.7
2011-11-30,27.4
2011-12-02,1.0
2011-12-03,4.8
2011-12-04,0.8
2011-12-05,41.0
2011-12-06,10.9
2011-12-07,6.5
2011-12-08,10.7
2011-12-10,21.1
2011-12-11,0.4
2011-12-14,0.6
2011-12-15,15.1
2011-12-16,17.2
2011-12-18,14.5
2011-12-20,0.0
2011-12-22,18.1
2011-12-24,4.9
2011-12-25,2.9
2011-12-26,0.0
2011-12-27,1.2
2011-12-28,49.3
2011-12-29,4.3
2011-12-30,26.9
2011-12-31,4.9
2012-01-01,0.0
2012-01-02,37.1
2012-01-03,0.2
2012-01-04,5.0
2012-01-05,1.0
2012-01-06,1.0
2012-01-07,0.4
2012-01-08,1.3
2012-01-09,3.3
2012-01-10,0.0
2012-01-11,1.7
2012-01-12,0.0
2012-01-13,0.3
2012-01-14,5.3
2012-01-20,78.4
2012-01-21,0.0
2012-01-22,0.9
2012-01-23,5.7
2012-01-24,0.0
2012-01-25,6.8
2012-01-26,0.0
2012-01-27,1.0
2012-01-28,0.3
2012-01-29,0.4
2012-01-30,14.1
2012-02-01,0.0
2012-02-02,0.6
2012-02-03,0.0
2012-02-04,10.1
2012-02-05,0.0
2012-02-08,2.4
2012-02-13,45.7
2012-02-14,14.8
2012-02-15,0.0
2012-02-16,10.4
2012-02-18,28.4
2012-02-19,0.0
2012-02-20,5.0
2012-02-21,12.3
2012-02-22,2.6
2012-02-23,3.7
2012-02-28,5.0
2012-02-29,3.0
2012-03-01,5.7
2012-03-02,9.1
2012-03-03,42.5
2012-03-04,11.4
2012-03-05,12.5
2012-03-06,2.7
2012-03-07,41.6
2012-03-08,14.0
2012-03-09,0.5
2012-03-10,4.5
2012-03-11,28.3
2012-03-12,20.2
2012-03-13,9.8
2012-03-14,0.0
2012-03-15,8.8
2012-03-16,15.7
2012-03-17,1.0
2012-03-19,0.1
2012-03-21,1.1
2012-03-22,4.1
2012-03-24,0.0
2012-03-25,2.3
2012-03-26,0.0
2012-03-27,3.0
2012-03-28,11.3
2012-03-29,0.5
2012-03-30,3.7
2012-04-01,4.2
2012-04-02,0.0
2012-04-04,1.2
2012-04-05,25.7
2012-04-06,5.6
2012-04-07,15.2
2012-04-08,9.8
2012-04-09,1.6
2012-04-10,32.3
2012-04-11,67.5
2012-04-12,0.3
2012-04-13,15.2
2012-04-14,30.5
2012-04-15,14.5
2012-04-16,1.5
2012-04-17,0.0
2012-04-18,20.5
2012-04-19,11.5
2012-04-20,9.5
2012-04-21,19.6
2012-04-22,37.1
2012-04-23,30.8
2012-04-24,3.0
2012-04-25,1.5
2012-04-26,2.4
2012-04-27,14.2
2012-04-28,39.4
2012-04-29,0.4
2012-04-30,43.6
2012-05-03,0.1
2012-05-04,0.9
2012-05-05,0.0
2012-05-06,0.5
2012-05-07,4.9
2012-05-08,0.0
2012-05-09,1.2
2012-05-10,6.5
2012-05-11,0.9
2012-05-12,7.2
2012-05-13,8.9
2012-05-14,0.4
2012-05-15,25.2
2012-05-17,1.2
2012-05-18,24.1
2012-05-19,28.3
2012-05-20,32.9
2012-05-21,0.0
2012-05-25,24.6
2012-05-26,4.2
2012-05-27,7.9
2012-05-29,3.8
2012-05-31,1.2
2012-06-01,0.5
2012-06-04,0.2
2012-06-05,0.5
2012-06-06,0.0
2012-06-07,0.2
2012-06-09,2.0
2012-06-10,2.3
2012-06-11,0.2
2012-06-12,46.5
2012-06-13,0.0
2012-06-16,6.0
2012-06-21,0.8
2012-06-22,0.5
2012-06-23,2.6
2012-06-24,42.0
2012-06-28,0.4
2012-06-29,0.0
2012-06-30,4.1
2012-07-02,18.1
2012-07-03,0.6
2012-07-04,0.0
2012-07-05,29.9
2012-07-06,15.9
2012-07-07,11.0
2012-07-08,6.4
2012-07-09,0.3
2012-07-10,13.2
2012-07-11,4.0
2012-07-12,4.1
2012-07-13,2.8
2012-07-14,11.7
2012-07-16,3.6
2012-07-17,10.0
2012-07-18,2.2
2012-07-19,0.0
2012-07-20,1.7
2012-07-21,0.9
2012-07-22,17.6
2012-07-23,0.0
2012-07-24,0.0
2012-07-25,6.4
2012-07-26,7.0
2012-07-27,9.0
2012-07-29,0.7
2012-08-01,0.0
2012-08-07,0.0
2012-08-13,0.0
