time,windspeed
2011-04-28,0.0
2011-04-29,0.3
2011-04-30,4.4
2011-05-01,29.9
2011-05-02,9.5
2011-05-03,26.1
2011-05-04,17.7
2011-05-05,0.0
2011-05-08,9.5
2011-05-09,1.7
2011-05-11,36.5
2011-05-14,0.0
2011-05-15,0.0
2011-05-16,30.5
2011-05-18,3.0
2011-05-20,0.5
2011-05-22,5.4
2011-05-23,9.0
2011-05-24,10.0
2011-05-25,0.8
2011-05-26,1.0
2011-05-28,0.0
2011-05-29,0.0
2011-05-30,0.1
2011-05-31,6.0
2011-06-01,6.0
2011-06-02,39.6
2011-06-03,16.7
2011-06-04,0.5
2011-06-05,3.1
2011-06-06,0.0
2011-06-07,7.5
2011-06-08,10.0
2011-06-09,29.1
2011-06-11,28.5
2011-06-12,1.5
2011-06-13,8.0
2011-06-14,64.0
2011-06-16,155.9
2011-06-17,0.0
2011-06-18,6.5
2011-06-19,2.0
2011-06-20,40.0
2011-06-21,19.8
2011-06-22,0.0
2011-06-27,11.3
2011-07-11,0.0
2011-07-17,8.0
2011-07-19,0.0
2011-07-23,0.2
2011-08-01,0.0
2011-08-02,0.0
2011-08-05,0.0
2011-08-07,0.0
2011-08-11,25.0
2011-08-13,0.0
2011-08-14,0.0
2011-08-15,0.0
2011-08-17,51.9
2011-08-18,17.5
2011-08-19,0.0
2011-08-28,0.0
2011-08-29,1.5
2011-08-30,1.9
2011-09-01,6.4
2011-09-02,13.6
2011-09-05,8.7
2011-09-06,0.9
2011-09-09,0.5
2011-09-10,1.3
2011-09-11,49.4
2011-09-14,10.2
2011-09-16,5.3
2011-09-17,24.2
2011-09-18,1.7
2011-09-19,2.4
2011-09-20,35.9
2011-09-22,0.0
2011-09-23,4.0
2011-09-24,3.1
2011-09-30,0.1
2011-10-03,18.6
2011-10-04,10.0
2011-10-06,2.6
2011-10-08,25.0
2011-10-09,1.7
2011-10-10,45.5
2011-10-11,6.6
2011-10-12,0.0
2011-10-14,11.6
2011-10-15,15.3
2011-10-18,0.6
2011-10-20,1.4
2011-10-22,0.4
2011-10-23,0.9
2011-10-25,1.0
2011-10-27,8.0
2011-11-04,18.0
2011-11-05,98.4
2011-11-06,18.9
2011-11-07,21.3
2011-11-08,36.9
2011-11-09,0.0
2011-11-15,78.7
2011-11-18,52.0
2011-11-20,74.7
2011-11-21,2.0
2011-11-22,6.2
2011-11-23,2.6
2011-11-24,0.5
2011-11-27,12.1
2011-11-28,5.5
2011-11-29,51.1
2011-11-30,23.3
2011-12-02,37.0
2011-12-03,5.0
2011-12-05,29.3
2011-12-06,80.8
2011-12-07,91.0
2011-12-08,13.5
2011-12-10,25.8
2011-12-11,0.5
2011-12-14,104.5
2011-12-15,77.3
2011-12-17,0.0
2011-12-19,0.0
2011-12-20,0.8
2011-12-21,2.5
2011-12-22,13.0
2011-12-24,34.5
2011-12-25,0.8
2011-12-26,9.0
2011-12-27,75.7
2011-12-28,94.2
2011-12-29,0.5
2011-12-30,78.0
2011-12-31,24.5
2012-01-01,6.5
2012-01-05,2.5
2012-01-06,5.4
2012-01-07,18.1
2012-01-08,0.0
2012-01-09,7.8
2012-01-10,42.5
2012-01-12,13.5
2012-01-13,1.9
2012-01-15,12.3
2012-01-20,33.0
2012-01-21,4.8
2012-01-23,10.5
2012-01-24,19.9
2012-01-26,25.0
2012-01-27,14.0
2012-01-28,1.0
2012-01-30,28.6
2012-02-02,0.0
2012-02-04,7.3
2012-02-07,4.0
2012-02-12,0.0
2012-02-13,66.4
2012-02-14,16.5
2012-02-15,4.0
2012-02-16,26.6
2012-02-18,4.1
2012-02-19,13.4
2012-02-20,2.2
2012-02-21,2.8
2012-02-22,15.9
2012-02-24,51.1
2012-02-28,24.1
2012-02-29,23.3
2012-03-01,9.2
2012-03-02,29.0
2012-03-03,40.4
2012-03-04,43.9
2012-03-05,54.0
2012-03-06,0.0
2012-03-07,67.0
2012-03-08,81.3
2012-03-09,17.5
2012-03-10,19.2
2012-03-11,46.0
2012-03-12,28.7
2012-03-13,24.6
2012-03-14,21.6
2012-03-15,11.1
2012-03-16,6.4
2012-03-17,29.5
2012-03-20,0.4
2012-03-21,29.9
2012-03-22,13.3
2012-03-23,0.0
2012-03-24,25.0
2012-03-25,14.0
2012-03-27,10.4
2012-03-28,51.5
2012-03-29,1.5
2012-03-30,14.0
2012-04-01,0.0
2012-04-03,1.0
2012-04-04,60.2
2012-04-05,5.5
2012-04-10,0.7
2012-04-11,36.0
2012-04-12,17.9
2012-04-13,0.0
2012-04-14,0.0
2012-04-15,93.6
2012-04-16,6.6
2012-04-17,9.2
2012-04-18,0.6
2012-04-19,3.0
2012-04-20,5.2
2012-04-22,18.7
2012-04-23,4.8
2012-04-25,4.6
2012-04-26,0.0
2012-04-29,45.5
2012-04-30,0.0
2012-05-01,6.6
2012-05-02,0.0
2012-05-03,16.5
2012-05-04,4.5
2012-05-05,1.0
2012-05-06,38.3
2012-05-07,0.5
2012-05-08,15.8
2012-05-09,66.0
2012-05-10,2.5
2012-05-11,4.0
2012-05-12,20.0
2012-05-13,0.1
2012-05-20,0.0
2012-05-22,6.0
2012-05-25,1.0
2012-05-29,0.2
2012-05-30,9.9
2012-06-01,1.7
2012-06-03,0.0
2012-06-06,0.5
2012-06-07,0.9
2012-06-08,1.0
2012-06-09,28.0
2012-06-11,13.2
2012-06-12,63.2
2012-06-21,0.0
2012-06-22,0.0
2012-06-28,20.5
2012-06-29,10.5
2012-06-30,10.0
2012-07-03,4.5
2012-07-05,1.2
2012-07-06,0.6
2012-07-07,24.0
2012-07-08,0.5
2012-07-09,76.5
2012-07-10,0.0
2012-07-11,2.0
2012-07-12,16.0
2012-07-13,0.6
2012-07-14,0.0
2012-07-15,16.5
2012-07-16,3.5
2012-07-17,0.6
2012-07-18,0.0
2012-07-19,35.9
2012-07-20,17.9
2012-07-21,0.6
2012-07-22,4.7
2012-07-25,23.3
2012-07-26,16.5
2012-07-27,0.0
2012-07-28,5.5
2012-08-07,0.0
2012-08-12,0.8
2012-08-18,8.0
2012-08-19,0.0
2012-08-20,0.0
2012-08-22,23.8
2012-08-24,13.8
2012-08-25,9.9
2012-08-26,2.8
2012-08-27,9.5
2012-08-28,6.6
2012-08-29,101.5
2012-08-30,0.3
2012-09-08,3.2
2012-09-13,10.0
2012-09-14,4.0
2012-09-15,18.1
2012-09-18,0.0
2012-09-19,5.8
2012-09-28,0.0
2012-10-01,0.0
2012-10-02,0.7
2012-10-12,0.0
2012-10-15,0.0
2012-10-17,0.1
2012-10-18,0.2
2012-10-19,11.0
2012-10-20,2.5
2012-10-21,1.5
2012-10-24,5.0
2012-10-25,0.0
2012-10-27,8.6
2012-10-28,1.4
2012-10-29,2.2
2012-10-30,24.5
2012-10-31,0.3
2012-11-01,0.3
2012-11-02,36.7
2012-11-03,14.7
2012-11-04,27.5
2012-11-05,7.7
2012-11-06,0.0
2012-11-07,10.4
2012-11-09,0.2
2012-11-10,26.0
2012-11-14,0.0
2012-11-15,0.8
2012-11-16,1.5
2012-11-17,3.6
2012-11-20,0.0
2012-11-21,1.2
2012-11-22,0.0
2012-11-23,2.5
2012-11-24,0.0
2012-11-25,0.6
2012-11-26,3.6
2012-11-27,6.6
2012-11-28,3.1
2012-11-29,6.9
2012-11-30,23.0
2012-12-01,52.0
2012-12-02,7.8
2012-12-03,13.4
2012-12-04,41.7
2012-12-05,22.8
2012-12-06,4.6
2012-12-07,15.6
2012-12-08,14.5
2012-12-09,8.1
2012-12-10,16.5
2012-12-12,0.0
2012-12-13,4.7
2012-12-14,19.8
2012-12-15,20.0
2012-12-16,1.5
2012-12-17,10.5
2012-12-18,40.1
2012-12-19,1.5
2012-12-21,1.0
2012-12-22,0.0
2012-12-23,8.4
2012-12-24,47.0
2012-12-25,76.0
2012-12-26,0.8
2012-12-27,0.2
2012-12-28,0.1
2012-12-29,13.2
2012-12-30,64.0
2012-12-31,90.6
2013-01-01,36.2
2013-01-02,26.3
2013-01-03,2.2
2013-01-04,60.2
2013-01-05,3.7
2013-01-06,19.2
2013-01-07,50.0
2013-01-08,64.3
2013-01-09,39.9
2013-01-10,71.3
2013-01-11,6.8
2013-01-12,0.7
2013-01-13,37.5
2013-01-15,19.4
2013-01-16,5.5
2013-01-17,24.5
2013-01-18,9.2
2013-01-19,12.3
2013-01-21,73.5
2013-01-22,17.8
2013-01-23,66.8
2013-01-24,0.0
2013-01-25,16.9
2013-01-26,0.7
2013-01-27,55.8
2013-01-28,82.5
2013-01-29,5.1
2013-01-30,1.5
2013-02-01,10.5
2013-02-02,9.8
2013-02-03,0.0
2013-02-04,2.0
2013-02-05,12.0
2013-02-06,1.6
2013-02-07,4.0
2013-02-08,32.8
2013-02-09,0.9
2013-02-10,0.0
2013-02-11,74.1
2013-02-12,25.0
2013-02-13,3.4
2013-02-14,4.5
2013-02-15,20.1
2013-02-16,1.5
2013-02-17,186.6
2013-02-18,93.5
2013-02-19,3.5
2013-02-20,19.9
2013-02-21,0.0
2013-02-22,24.7
2013-02-23,0.0
2013-02-24,6.1
2013-02-27,45.6
2013-03-04,8.0
2013-03-05,1.0
2013-03-06,0.0
2013-03-07,60.3
2013-03-08,1.5
2013-03-09,0.8
2013-03-10,8.0
2013-03-12,14.9
2013-03-14,2.3
2013-03-19,0.5
2013-03-20,14.5
2013-03-21,1.5
2013-03-22,0.0
2013-03-24,3.5
2013-03-25,16.5
2013-04-01,1.5
2013-04-02,16.5
2013-04-04,5.5
2013-04-05,5.5
2013-04-06,0.0
2013-04-07,16.0
2013-04-08,32.7
2013-04-09,6.5
2013-04-10,7.6
2013-04-11,0.2
2013-04-13,34.0
2013-04-14,9.4
2013-04-15,10.5
2013-04-16,1.6
2013-04-18,0.0
2013-04-19,0.0
2013-04-21,15.0
2013-04-22,0.0
2013-04-23,15.0
2013-04-24,40.0
2013-04-25,6.7
2013-04-27,21.6
2013-04-28,5.5
2013-04-29,0.5
2013-04-30,10.5
